id,host_id,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,beds,price,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,reviews_per_month
30307786,25879461,10.0,f,1.0,t,t,Indre By,Entire rental unit,Entire home/apt,2,1 bath,1.0,1350.0,3,30,363,28,4.68,f,0.45
689790813018376192,253710507,100.0,f,1.0,t,t,Amager st,Entire condo,Entire home/apt,2,1 bath,1.0,1149.0,2,1125,23,5,4.4,f,0.3
54145570,55628581,94.0,t,2.0,t,t,Vesterbro-Kongens Enghave,Entire townhouse,Entire home/apt,5,1 bath,3.0,1495.0,2,365,0,33,4.82,f,1.53
37746858,24156857,100.0,f,2.0,t,t,Amager st,Entire home,Entire home/apt,6,1.5 baths,3.0,1320.4675313807531,3,1125,0,3,5.0,f,0.06
1012831011527106937,102734820,90.0,f,1.0,t,f,Amager st,Entire rental unit,Entire home/apt,2,1 bath,1.0,700.0,3,60,39,4,4.5,f,2.61
925024421683052932,99532257,34.0,f,1.0,t,f,Vesterbro-Kongens Enghave,Entire rental unit,Entire home/apt,3,1 bath,1.0,1200.0,1,1125,354,9,5.0,f,1.54
43574190,113436231,85.0,f,2.0,t,t,Amager Vest,Entire rental unit,Entire home/apt,2,1 bath,1.0,1320.4675313807531,5,30,0,4,5.0,f,0.1
884129424803698247,506469740,79.0,t,1.0,t,t,Amager Vest,Entire rental unit,Entire home/apt,5,1 bath,2.0,1339.0,4,365,282,32,4.84,f,5.45
3249158,15588787,100.0,f,3.0,t,t,Frederiksberg,Private room in rental unit,Private room,1,1 shared bath,1.0,457.0,2,14,0,19,4.79,t,0.18
996157793165014802,179753578,99.0,f,26.0,t,t,Indre By,Entire rental unit,Entire home/apt,2,1 bath,1.0,1121.0,1,365,86,1,3.0,t,0.49
602035741904390863,137079626,100.0,f,1.0,t,t,Amager Vest,Entire condo,Entire home/apt,4,1 bath,2.0,1100.0,6,1125,234,7,5.0,f,0.36
928863968878732064,523863287,24.0,f,1.0,f,t,Amager Vest,Entire rental unit,Entire home/apt,3,1 bath,1.0,1020.0,3,365,0,7,5.0,f,1.48
38210960,265861058,100.0,f,5.0,t,f,Vanløse,Entire rental unit,Entire home/apt,3,1 bath,5.0,1320.4675313807531,3,1125,0,38,4.66,t,0.72
43818529,273522429,71.55430761099366,f,2.0,t,f,Frederiksberg,Entire townhouse,Entire home/apt,6,1 bath,3.0,1320.4675313807531,6,18,0,2,5.0,f,0.05
622119684918895684,701619,46.0,f,1.0,t,t,Amager st,Entire townhouse,Entire home/apt,6,1.5 baths,3.0,1200.0,5,14,25,5,4.8,f,0.28
49243426,92935344,100.0,f,2.0,t,f,Amager Vest,Entire condo,Entire home/apt,4,1 bath,5.0,1800.0,5,9,8,8,5.0,f,0.27
874475087477498664,511045586,100.0,t,1.0,t,t,Amager st,Entire rental unit,Entire home/apt,2,1 bath,1.0,1157.0,2,1125,326,16,4.88,f,2.57
903322287194031874,35307001,83.0,f,4.0,t,t,Frederiksberg,Entire rental unit,Entire home/apt,3,1 bath,1.0,1300.0,2,365,330,12,4.67,f,1.78
50111553,401562077,71.55430761099366,f,1.0,t,t,Frederiksberg,Entire condo,Entire home/apt,4,1 bath,3.0,1320.4675313807531,25,26,0,1,5.0,f,0.06
973323390229944517,96982150,91.0,f,1.0,t,t,Vesterbro-Kongens Enghave,Entire rental unit,Entire home/apt,3,1 bath,2.0,969.0,3,365,150,4,4.25,f,1.48
4959597,14497183,71.55430761099366,f,1.0,t,t,Amager Vest,Entire rental unit,Entire home/apt,8,1 bath,8.0,1320.4675313807531,5,1125,0,22,4.55,f,0.28
666687106902268846,51841633,100.0,f,1.0,t,t,Frederiksberg,Entire condo,Entire home/apt,3,1 bath,1.0,1500.0,2,1125,8,7,5.0,f,0.49
962929766717050938,206860154,98.0,t,7.0,t,t,Frederiksberg,Private room in rental unit,Private room,2,1 private bath,1.0,600.0,6,365,82,7,5.0,f,1.94
975981021601740572,64760952,0.0,f,1.0,t,f,Vesterbro-Kongens Enghave,Entire rental unit,Entire home/apt,2,1 bath,1.0,900.0,28,365,112,0,4.818525443935496,f,0.7332381191537447
3228008,16337957,50.0,f,1.0,t,f,Valby,Entire villa,Entire home/apt,5,1.5 baths,3.0,1400.0,3,14,17,4,5.0,f,0.21
792560318012819759,11325039,29.0,f,2.0,t,t,Vanløse,Entire rental unit,Entire home/apt,2,1 bath,1.0,814.0,1,14,365,2,4.5,f,0.29
1272893,6507956,7.0,f,1.0,t,t,Bispebjerg,Entire home,Entire home/apt,5,2 baths,4.0,1300.0,7,1125,178,3,4.67,f,0.02
2451661,12535656,71.55430761099366,f,1.0,t,t,Nørrebro,Entire rental unit,Entire home/apt,7,1.5 baths,4.0,1320.4675313807531,5,1124,0,8,5.0,f,0.09
48006682,164771007,100.0,f,14.0,t,t,Amager Vest,Room in aparthotel,Private room,1,1 private bath,1.0,372.0,7,1125,154,14,4.57,f,0.49
648772,3255333,71.55430761099366,f,1.0,t,t,Amager st,Entire condo,Entire home/apt,2,1 bath,1.0,2000.0,5,10,358,5,4.8,f,0.06
626364250184474726,94216204,50.0,f,1.0,t,t,Amager st,Entire townhouse,Entire home/apt,4,1 bath,3.0,1350.0,4,14,136,2,5.0,f,0.11
1013590897227294815,27062710,100.0,f,2.0,t,t,Amager Vest,Entire rental unit,Entire home/apt,3,1 bath,2.0,966.0,1,365,156,0,4.818525443935496,f,0.7332381191537447
22339302,3208288,43.0,t,1.0,t,t,Amager Vest,Entire rental unit,Entire home/apt,2,1 bath,1.0,921.0,4,14,360,16,4.88,f,0.25
747074976138273220,212797057,46.0,t,1.0,t,t,Nørrebro,Entire condo,Entire home/apt,5,1 bath,3.0,1529.0,1,31,149,28,4.89,f,2.01
38621761,43358127,75.0,f,1.0,t,t,Frederiksberg,Entire rental unit,Entire home/apt,4,1 bath,2.0,1320.4675313807531,5,30,0,2,5.0,f,0.04
50221471,5959569,71.55430761099366,f,1.0,t,t,Østerbro,Entire rental unit,Entire home/apt,4,1 bath,4.0,1320.4675313807531,7,14,0,0,4.818525443935496,t,0.7332381191537447
12383533,60979018,73.0,f,1.0,t,t,Indre By,Entire townhouse,Entire home/apt,4,1 bath,3.0,1500.0,3,13,38,24,5.0,f,0.26
28945325,218186848,50.0,f,2.0,t,f,Amager Vest,Entire rental unit,Entire home/apt,2,1 bath,1.0,1000.0,7,1125,145,2,5.0,f,0.03
2409442,12315255,0.0,f,2.0,t,t,Indre By,Entire rental unit,Entire home/apt,4,1 bath,2.0,3728.0,2,30,363,9,4.89,f,0.09
882482576932193517,52402611,100.0,t,3.0,t,t,Valby,Entire home,Entire home/apt,4,1 bath,3.0,1914.0,3,31,354,12,4.83,t,1.86
895760177404814917,92218815,36.0,f,6.0,t,f,Bispebjerg,Entire rental unit,Entire home/apt,2,1 bath,1.0,1036.0,2,365,4,10,4.9,f,1.63
964469513920423295,12045630,0.0,f,1.0,t,t,Bispebjerg,Entire home,Entire home/apt,6,1 bath,6.0,1700.0,6,365,267,0,4.818525443935496,f,0.7332381191537447
770072213691461854,182040684,20.0,f,1.0,t,t,Frederiksberg,Entire rental unit,Entire home/apt,2,1 bath,1.0,1250.0,2,14,363,0,4.818525443935496,f,0.7332381191537447
955606256070400783,70689327,64.0,f,3.0,t,t,Amager Vest,Entire condo,Entire home/apt,4,1 bath,2.0,1500.0,5,365,11,4,4.75,f,1.07
5151139,26632485,71.55430761099366,f,1.0,t,t,Østerbro,Private room in condo,Private room,2,1 shared bath,1.0,1320.4675313807531,1,7,0,0,4.818525443935496,f,0.7332381191537447
38972544,10905062,63.0,f,1.0,t,t,Frederiksberg,Entire rental unit,Entire home/apt,3,1 bath,1.0,1320.4675313807531,2,1125,0,7,5.0,f,0.14
26743703,187610263,98.0,f,595.0,t,t,Indre By,Entire rental unit,Entire home/apt,4,1 bath,2.0,1812.0,1,1125,16,1,5.0,f,0.02
34835494,13857263,90.0,t,1.0,t,t,Nørrebro,Private room in rental unit,Private room,2,1 shared bath,1.0,300.0,1,30,45,178,4.78,f,3.18
724576818973015753,14707379,52.0,t,1.0,t,t,Frederiksberg,Entire condo,Entire home/apt,2,1 bath,1.0,895.0,3,365,18,13,5.0,f,0.89
38974431,56054249,71.55430761099366,f,3.0,t,t,Østerbro,Entire rental unit,Entire home/apt,4,1 bath,2.0,1320.4675313807531,5,20,0,5,5.0,f,0.1
258670,848166,46.0,f,1.0,t,t,Frederiksberg,Entire rental unit,Entire home/apt,2,1 bath,1.0,746.0,2,7,11,110,4.77,f,0.75
1020174629513359011,459079694,73.0,f,1.0,f,t,Bispebjerg,Entire rental unit,Entire home/apt,2,1 bath,1.0,850.0,2,365,81,4,5.0,f,3.0
